Assignee,Segment, COUNT(Id)
john@example.com,AE,68
john@example.com,AP,146
john@example.com,IS,85
john@example.com,LB,1869
john@example.com,NM,85
john@example.com,OS,2226
john@example.com,PD,2658
john@example.com,PH,3651
natasha@example.com,AE,69
natasha@example.com,AP,179
natasha@example.com,IS,58
natasha@example.com,LB,1673
natasha@example.com,NM,78
natasha@example.com,OS,1730
natasha@example.com,PD,1454
natasha@example.com,PH,3837
mario@example.com,AE,40
mario@example.com,AP,141
mario@example.com,IS,41
mario@example.com,LB,1960
mario@example.com,NM,77
mario@example.com,OS,2065
mario@example.com,PD,1244
mario@example.com,PH,3721
gerald@example.com,AE,43
gerald@example.com,AP,160
gerald@example.com,IS,76
gerald@example.com,LB,2048
gerald@example.com,NM,76
gerald@example.com,OS,1721
gerald@example.com,PD,1995
gerald@example.com,PH,3681
karen@example.com,AE,40
karen@example.com,AP,165
karen@example.com,IS,60
karen@example.com,LB,1710
karen@example.com,NM,143
karen@example.com,OS,1997
karen@example.com,PD,2297
karen@example.com,PH,4020
