Assignee,Segment, COUNT(Id)
john@example.com,AE,58
john@example.com,AP,133
john@example.com,IS,62
john@example.com,LB,1720
john@example.com,NM,100
john@example.com,OS,1820
john@example.com,PD,2461
john@example.com,PH,4532
natasha@example.com,AE,63
natasha@example.com,AP,151
natasha@example.com,IS,62
natasha@example.com,LB,1937
natasha@example.com,NM,132
natasha@example.com,OS,1323
natasha@example.com,PD,1315
natasha@example.com,PH,3644
mario@example.com,AE,60
mario@example.com,AP,166
mario@example.com,IS,45
mario@example.com,LB,1813
mario@example.com,NM,122
mario@example.com,OS,2007
mario@example.com,PD,1295
mario@example.com,PH,3981
gerald@example.com,AE,56
gerald@example.com,AP,156
gerald@example.com,IS,49
gerald@example.com,LB,2069
gerald@example.com,NM,135
gerald@example.com,OS,1602
gerald@example.com,PD,1495
gerald@example.com,PH,3910
karen@example.com,AE,50
karen@example.com,AP,130
karen@example.com,IS,82
karen@example.com,LB,1723
karen@example.com,NM,77
karen@example.com,OS,1727
karen@example.com,PD,2889
karen@example.com,PH,4385
