Assignee,Segment, COUNT(Id)
john@example.com,AE,53
john@example.com,AP,173
john@example.com,IS,42
john@example.com,LB,1651
john@example.com,NM,66
john@example.com,OS,1969
john@example.com,PD,1655
john@example.com,PH,4761
natasha@example.com,AE,66
natasha@example.com,AP,143
natasha@example.com,IS,40
natasha@example.com,LB,1767
natasha@example.com,NM,127
natasha@example.com,OS,1306
natasha@example.com,PD,3127
natasha@example.com,PH,4275
mario@example.com,AE,42
mario@example.com,AP,138
mario@example.com,IS,81
mario@example.com,LB,1987
mario@example.com,NM,79
mario@example.com,OS,1219
mario@example.com,PD,3061
mario@example.com,PH,4714
gerald@example.com,AE,48
gerald@example.com,AP,140
gerald@example.com,IS,42
gerald@example.com,LB,2089
gerald@example.com,NM,90
gerald@example.com,OS,2113
gerald@example.com,PD,2423
gerald@example.com,PH,4095
karen@example.com,AE,58
karen@example.com,AP,136
karen@example.com,IS,79
karen@example.com,LB,1742
karen@example.com,NM,149
karen@example.com,OS,2119
karen@example.com,PD,2866
karen@example.com,PH,4226
