Assignee,Segment, COUNT(Id)
john@example.com,AE,54
john@example.com,AP,153
john@example.com,IS,65
john@example.com,LB,1907
john@example.com,NM,139
john@example.com,OS,1256
john@example.com,PD,2679
john@example.com,PH,3879
natasha@example.com,AE,50
natasha@example.com,AP,163
natasha@example.com,IS,54
natasha@example.com,LB,1732
natasha@example.com,NM,71
natasha@example.com,OS,1882
natasha@example.com,PD,1822
natasha@example.com,PH,4406
mario@example.com,AE,64
mario@example.com,AP,131
mario@example.com,IS,51
mario@example.com,LB,1935
mario@example.com,NM,74
mario@example.com,OS,1700
mario@example.com,PD,3083
mario@example.com,PH,4145
gerald@example.com,AE,56
gerald@example.com,AP,157
gerald@example.com,IS,52
gerald@example.com,LB,1694
gerald@example.com,NM,107
gerald@example.com,OS,1569
gerald@example.com,PD,2510
gerald@example.com,PH,3645
karen@example.com,AE,64
karen@example.com,AP,131
karen@example.com,IS,51
karen@example.com,LB,1754
karen@example.com,NM,115
karen@example.com,OS,1470
karen@example.com,PD,2498
karen@example.com,PH,3600
