Assignee,Segment, COUNT(Id)
john@example.com,AE,41
john@example.com,AP,164
john@example.com,IS,71
john@example.com,LB,1880
john@example.com,NM,72
john@example.com,OS,1885
john@example.com,PD,1948
john@example.com,PH,3832
natasha@example.com,AE,50
natasha@example.com,AP,173
natasha@example.com,IS,74
natasha@example.com,LB,1901
natasha@example.com,NM,59
natasha@example.com,OS,1735
natasha@example.com,PD,3146
natasha@example.com,PH,3616
mario@example.com,AE,45
mario@example.com,AP,144
mario@example.com,IS,77
mario@example.com,LB,1661
mario@example.com,NM,55
mario@example.com,OS,1827
mario@example.com,PD,1828
mario@example.com,PH,4291
gerald@example.com,AE,60
gerald@example.com,AP,156
gerald@example.com,IS,44
gerald@example.com,LB,2088
gerald@example.com,NM,146
gerald@example.com,OS,1546
gerald@example.com,PD,2945
gerald@example.com,PH,4364
karen@example.com,AE,43
karen@example.com,AP,150
karen@example.com,IS,44
karen@example.com,LB,2099
karen@example.com,NM,149
karen@example.com,OS,2043
karen@example.com,PD,2377
karen@example.com,PH,3653
