Assignee,Segment, COUNT(Id)
john@example.com,AE,46
john@example.com,AP,155
john@example.com,IS,41
john@example.com,LB,1848
john@example.com,NM,58
john@example.com,OS,1748
john@example.com,PD,1378
john@example.com,PH,4306
natasha@example.com,AE,67
natasha@example.com,AP,175
natasha@example.com,IS,49
natasha@example.com,LB,1821
natasha@example.com,NM,126
natasha@example.com,OS,2248
natasha@example.com,PD,2191
natasha@example.com,PH,4384
mario@example.com,AE,64
mario@example.com,AP,160
mario@example.com,IS,45
mario@example.com,LB,1696
mario@example.com,NM,51
mario@example.com,OS,1987
mario@example.com,PD,2611
mario@example.com,PH,4346
gerald@example.com,AE,56
gerald@example.com,AP,178
gerald@example.com,IS,54
gerald@example.com,LB,1908
gerald@example.com,NM,92
gerald@example.com,OS,1785
gerald@example.com,PD,2398
gerald@example.com,PH,4629
karen@example.com,AE,67
karen@example.com,AP,139
karen@example.com,IS,54
karen@example.com,LB,1666
karen@example.com,NM,143
karen@example.com,OS,2100
karen@example.com,PD,1440
karen@example.com,PH,4077
