Assignee,Segment, COUNT(Id)
john@example.com,AE,68
john@example.com,AP,173
john@example.com,IS,59
john@example.com,LB,1787
john@example.com,NM,126
john@example.com,OS,1377
john@example.com,PD,2890
john@example.com,PH,4559
natasha@example.com,AE,59
natasha@example.com,AP,138
natasha@example.com,IS,46
natasha@example.com,LB,2096
natasha@example.com,NM,76
natasha@example.com,OS,1523
natasha@example.com,PD,3054
natasha@example.com,PH,4165
mario@example.com,AE,60
mario@example.com,AP,143
mario@example.com,IS,60
mario@example.com,LB,1765
mario@example.com,NM,75
mario@example.com,OS,1505
mario@example.com,PD,2953
mario@example.com,PH,4727
gerald@example.com,AE,44
gerald@example.com,AP,166
gerald@example.com,IS,51
gerald@example.com,LB,1967
gerald@example.com,NM,134
gerald@example.com,OS,1778
gerald@example.com,PD,1682
gerald@example.com,PH,3717
karen@example.com,AE,56
karen@example.com,AP,148
karen@example.com,IS,66
karen@example.com,LB,1663
karen@example.com,NM,108
karen@example.com,OS,1842
karen@example.com,PD,2973
karen@example.com,PH,3712
