Assignee,Segment, COUNT(Id)
john@example.com,AE,50
john@example.com,AP,132
john@example.com,IS,49
john@example.com,LB,1998
john@example.com,NM,84
john@example.com,OS,1900
john@example.com,PD,1907
john@example.com,PH,3949
natasha@example.com,AE,59
natasha@example.com,AP,159
natasha@example.com,IS,40
natasha@example.com,LB,2020
natasha@example.com,NM,143
natasha@example.com,OS,1918
natasha@example.com,PD,1474
natasha@example.com,PH,4012
mario@example.com,AE,49
mario@example.com,AP,161
mario@example.com,IS,62
mario@example.com,LB,1817
mario@example.com,NM,107
mario@example.com,OS,1406
mario@example.com,PD,3051
mario@example.com,PH,4699
gerald@example.com,AE,47
gerald@example.com,AP,152
gerald@example.com,IS,67
gerald@example.com,LB,1687
gerald@example.com,NM,56
gerald@example.com,OS,1391
gerald@example.com,PD,2716
gerald@example.com,PH,4213
karen@example.com,AE,65
karen@example.com,AP,145
karen@example.com,IS,65
karen@example.com,LB,1739
karen@example.com,NM,102
karen@example.com,OS,2201
karen@example.com,PD,2826
karen@example.com,PH,4188
