Assignee,Segment, COUNT(Id)
john@example.com,AE,43
john@example.com,AP,141
john@example.com,IS,51
john@example.com,LB,1897
john@example.com,NM,149
john@example.com,OS,2163
john@example.com,PD,1369
john@example.com,PH,4681
natasha@example.com,AE,52
natasha@example.com,AP,179
natasha@example.com,IS,74
natasha@example.com,LB,1931
natasha@example.com,NM,50
natasha@example.com,OS,2270
natasha@example.com,PD,2864
natasha@example.com,PH,3635
mario@example.com,AE,53
mario@example.com,AP,154
mario@example.com,IS,40
mario@example.com,LB,1758
mario@example.com,NM,84
mario@example.com,OS,1677
mario@example.com,PD,2068
mario@example.com,PH,4185
gerald@example.com,AE,56
gerald@example.com,AP,168
gerald@example.com,IS,59
gerald@example.com,LB,1757
gerald@example.com,NM,84
gerald@example.com,OS,2096
gerald@example.com,PD,3132
gerald@example.com,PH,3878
karen@example.com,AE,55
karen@example.com,AP,149
karen@example.com,IS,49
karen@example.com,LB,1769
karen@example.com,NM,81
karen@example.com,OS,1913
karen@example.com,PD,3104
karen@example.com,PH,4556
