Assignee,Segment, COUNT(Id)
john@example.com,AE,46
john@example.com,AP,157
john@example.com,IS,65
john@example.com,LB,2027
john@example.com,NM,109
john@example.com,OS,1672
john@example.com,PD,2343
john@example.com,PH,4058
natasha@example.com,AE,63
natasha@example.com,AP,145
natasha@example.com,IS,64
natasha@example.com,LB,1838
natasha@example.com,NM,59
natasha@example.com,OS,2242
natasha@example.com,PD,1693
natasha@example.com,PH,4545
mario@example.com,AE,60
mario@example.com,AP,176
mario@example.com,IS,75
mario@example.com,LB,1756
mario@example.com,NM,97
mario@example.com,OS,1948
mario@example.com,PD,1962
mario@example.com,PH,4313
gerald@example.com,AE,63
gerald@example.com,AP,137
gerald@example.com,IS,79
gerald@example.com,LB,1691
gerald@example.com,NM,79
gerald@example.com,OS,1655
gerald@example.com,PD,3064
gerald@example.com,PH,4129
karen@example.com,AE,40
karen@example.com,AP,154
karen@example.com,IS,56
karen@example.com,LB,1666
karen@example.com,NM,50
karen@example.com,OS,1806
karen@example.com,PD,1617
karen@example.com,PH,3711
